iso3c,mean_emissions,distance,quantity,footprint
BGD,5638.3085557503855,5682,44189.74,1.275931597640173e-4
CHN,453309.81870056695,4358,13896421.92,3.262061423510427e-5
ESP,13255.823109227473,15555,37949.89000000001,3.4929806408470407e-4
IDN,49433.15169477761,1280,5159450.17,9.58108908236197e-6
IND,46858.8034613118,5419,1155226.48,4.056243885728087e-5
JPY,9539.070490872886,4915,86428.38,1.1036965509330252e-4
MYS,30954.06513716485,2565,537408.04,5.759881288185575e-5
PHL,674.935581373888,2196,13686.859999999999,4.931266787078176e-5
PNG,422.3532527527406,856,43944.64,9.611029985744351e-6
SGP,33765.649245055094,3026,993825.22,3.397544011315701e-5
THA,507262.21763126436,3756,36085441.2,1.4057254138027952e-5
VNM,17492.74788306897,3723,209237.16999999998,8.360248746945379e-5
