species_name,prod_method,transport_emissions,production_emissions,total_emissions
Banana Prawn,Wild,812121.4056,244261715.8,245073837.2
Giant Tiger Prawn,Farmed,245191.6787,16068402.67,16313594.35
Giant Tiger Prawn,Wild,391443.5226,120403340.3,120794783.8
Kuruma Prawn,Farmed,9326.666985,488145.8738,497472.5408
Penaeus Shrimps Nei,Farmed,1394256.325,83138831.72,84533088.05
Penaeus Shrimps Nei,Wild,1873776.32,457053808.1,458927584.4
Western King Prawn,Wild,4460.534392,1108650.873,1113111.407
,,,,
,,,,
,Wild-caught prawns,3081801.782,822827515.1,825909316.9
,Farmed prawns,1648774.671,99695380.27,101344154.9
,,,,
species_name,prod_method,total_emissions,,
Banana Prawn,Wild,245073837.2,,
Giant Tiger Prawn,Farmed,16313594.35,,
Giant Tiger Prawn,Wild,120794783.8,,
Kuruma Prawn,Farmed,497472.5408,,
Penaeus Shrimps Nei,Farmed,84533088.05,,
Penaeus Shrimps Nei,Wild,458927584.4,,
Western King Prawn,Wild,1113111.407,,
,,,,
species name,quantity,,,
Penaeus Shrimps Nei (Farmed),14825.38732,,,
Penaeus Shrimps Nei (Wild-caught),22299.09624,,,
Giant Tiger Prawn (Farmed),3206.64601,,,
Giant Tiger Prawn (Wild-caught),5874.3317,,,
Banana Prawn (Wild-caught),11917.23034,,,
Kuruma Prawn (Farmed),86.42838,,,
Western King Prawn (Wild-caught),54.08972,,,
,,,,
Penaeus Shrimps Nei,37124.48356,63.6,63.6%,
Giant Tiger Prawn,9080.97771,15.6,15.6%,
Banana Prawn,12003.65872,20.6,20.6%,
Kuruma Prawn,86.42838,0.1,0.1%,
Western King Prawn,54.08972,0.1,0.1%,
total,58349.63809,,,
