,iso3c,prod_method,mean_ghg,species_name,quantity,distance,ef,emissions_nautical_mile,transport_emissions,rep,production_emissions
1,BGD,Farmed,566.7386655,Penaeus Shrimps Nei,44.18974,5682,20.32931849,10208818.7,5512.762098,1,25044.03428
2,CHN,Farmed,5647.981297,Giant Tiger Prawn,290.01403,4358,20.32931849,51387684.57,27749.34967,1,1637993.817
3,CHN,Farmed,5647.981297,Penaeus Shrimps Nei,13502.64154,4358,20.32931849,2392537645,1291970.328,1,76262666.88
4,IND,Farmed,5647.981297,Penaeus Shrimps Nei,45.66118,5419,20.32931849,10060489.15,5432.664142,1,257893.4907
5,SGP,Farmed,5647.981297,Penaeus Shrimps Nei,644.55475,3026,20.32931849,79301527.45,42822.82482,1,3640433.173
6,IDN,Farmed,998.9778254,Giant Tiger Prawn,60.27608,1280,20.32931849,3136951.367,1693.953738,1,60214.46732
7,IDN,Wild,20496.51713,Banana Prawn,3115.6875,1280,20.32931849,162149897,87560.94437,1,63860742.22
8,MYS,Farmed,5647.981297,Giant Tiger Prawn,537.40804,2565,20.32931849,56045964.12,30264.82063,1,3035270.559
9,THA,Farmed,5018.855751,Penaeus Shrimps Nei,588.34011,3756,20.32931849,89847677.73,48517.74597,1,2952794.144
10,CHN,Wild,20496.51713,Penaeus Shrimps Nei,103.76635,4358,20.32931849,18386394.84,9928.653211,1,2126848.77
11,SGP,Farmed,5647.981297,Giant Tiger Prawn,349.27047,3026,20.32931849,42971806.14,23204.77532,1,1972673.082
12,JPY,Farmed,5647.981297,Kuruma Prawn,86.42838,4915,20.32931849,17271605.53,9326.666985,1,488145.8738
13,THA,Farmed,5018.855751,Giant Tiger Prawn,1760.44022,3756,20.32931849,268843587,145175.537,1,8835395.522
14,ESP,Wild,20496.51713,Penaeus Shrimps Nei,37.94989,15555,20.32931849,24001221.91,12960.65983,1,777840.5705
15,PNG,Wild,20496.51713,Banana Prawn,19.83527,856,20.32931849,690342.6363,372.7850236,1,406553.9514
16,VNM,Farmed,2517.981032,Giant Tiger Prawn,209.23717,3723,20.32931849,31672670.97,17103.24232,1,526855.2252
17,IDN,Wild,20496.51713,Giant Tiger Prawn,1983.48659,1280,20.32931849,103226702.4,55742.41928,1,40654566.87
18,IND,Wild,20496.51713,Penaeus Shrimps Nei,661.06413,5419,20.32931849,145651700.4,78651.91821,1,13549512.27
19,PHL,Wild,20496.51713,Penaeus Shrimps Nei,13.68686,2196,20.32931849,1222050.003,659.9070014,1,280532.9605
20,IND,Wild,20496.51713,Giant Tiger Prawn,448.50117,5419,20.32931849,98817883.27,53361.65697,1,9192711.915
21,THA,Wild,20496.51713,Banana Prawn,8781.70757,3756,20.32931849,1341088289,724187.6762,1,179994419.7
22,THA,Wild,20496.51713,Penaeus Shrimps Nei,21482.62901,3756,20.32931849,3280694780,1771575.181,1,440319073.5
23,PNG,Wild,20496.51713,Giant Tiger Prawn,24.10937,856,20.32931849,839097.5291,453.1126657,1,494158.1152
24,THA,Wild,20496.51713,Western King Prawn,54.08972,3756,20.32931849,8260248.874,4460.534392,1,1108650.873
25,THA,Wild,20496.51713,Giant Tiger Prawn,3418.23457,3756,20.32931849,522011729,281886.3336,1,70061903.42
