"","iso3c","species_name","prod_method","quantity","distance","ef","emissions_nautical_mile","transport_emissions","rep"
"1","BGD","Penaeus Shrimps Nei","Farmed",44.18974,5682,31.9679183396045,16053400.0533676,8668.8360288185,1
"2","CHN","Giant Tiger Prawn","Farmed",290.01403,4358,31.9679183396045,80807298.3241567,43635.9410950446,1
"3","CHN","Penaeus Shrimps Nei","Farmed",13502.64154,4358,31.9679183396045,3762273097.91506,2031627.47287413,1
"4","CHN","Penaeus Shrimps Nei","Wild",103.76635,4358,31.9679183396045,28912664.6750809,15612.8389245437,1
"5","ESP","Penaeus Shrimps Nei","Wild",37.94989,15555,31.9679183396045,37741998.2083231,20380.6790324945,1
"6","IDN","Banana Prawn","Wild",3115.6875,1280,31.9679183396045,254981231.54362,137689.865033555,1
"7","IDN","Giant Tiger Prawn","Farmed",60.27608,1280,31.9679183396045,4932866.05637496,2663.74767044248,1
"8","IDN","Giant Tiger Prawn","Wild",1983.48659,1280,31.9679183396045,162324319.582261,87655.1325744208,1
"9","IND","Giant Tiger Prawn","Wild",448.50117,5419,31.9679183396045,155391437.453548,83911.3762249159,1
"10","IND","Penaeus Shrimps Nei","Farmed",45.66118,5419,31.9679183396045,15820151.363318,8542.8817361917,1
"11","IND","Penaeus Shrimps Nei","Wild",661.06413,5419,31.9679183396045,229037764.627636,123680.392898923,1
"12","JPY","Kuruma Prawn","Farmed",86.42838,4915,31.9679183396045,27159654.9236521,14666.2136587722,1
"13","MYS","Giant Tiger Prawn","Farmed",537.40804,2565,31.9679183396045,88132457.8127443,47591.5272188819,1
"14","PHL","Penaeus Shrimps Nei","Wild",13.68686,2196,31.9679183396045,1921677.53696219,1037.70586995958,1
"15","PNG","Banana Prawn","Wild",19.83527,856,31.9679183396045,1085566.00322606,586.205641742073,1
"16","PNG","Giant Tiger Prawn","Wild",24.10937,856,31.9679183396045,1319483.54780138,712.521115812745,1
"17","SGP","Giant Tiger Prawn","Farmed",349.27047,3026,31.9679183396045,67573302.5732683,36489.5833895649,1
"18","SGP","Penaeus Shrimps Nei","Farmed",644.55475,3026,31.9679183396045,124701905.508322,67339.028974494,1
"19","THA","Banana Prawn","Wild",8781.70757,3756,31.9679183396045,2108865623.52611,1138787.4367041,1
"20","THA","Giant Tiger Prawn","Farmed",1760.44022,3756,31.9679183396045,422757400.270702,228288.996146179,1
"21","THA","Giant Tiger Prawn","Wild",3418.23457,3756,31.9679183396045,820865113.118491,443267.161083985,1
"22","THA","Penaeus Shrimps Nei","Farmed",588.34011,3756,31.9679183396045,141285760.546063,76294.3106948742,1
"23","THA","Penaeus Shrimps Nei","Wild",21482.62901,3756,31.9679183396045,5158903033.49668,2785807.63808821,1
"24","THA","Western King Prawn","Wild",54.08972,3756,31.9679183396045,12989267.7688142,7014.20459515968,1
"25","VNM","Giant Tiger Prawn","Farmed",209.23717,3723,31.9679183396045,49805376.3860094,26894.9032484451,1
"26","BGD","Penaeus Shrimps Nei","Farmed",44.18974,5682,32.551375828404,16346396.1872518,8827.05394111599,2
"27","CHN","Giant Tiger Prawn","Farmed",290.01403,4358,32.551375828404,82282140.1595249,44432.3556861434,2
"28","CHN","Penaeus Shrimps Nei","Farmed",13502.64154,4358,32.551375828404,3830939640.12052,2068707.40566508,2
"29","CHN","Penaeus Shrimps Nei","Wild",103.76635,4358,32.551375828404,29440359.6768829,15897.7942255168,2
"30","ESP","Penaeus Shrimps Nei","Wild",37.94989,15555,32.551375828404,38430840.4176583,20752.6538255355,2
"31","IDN","Banana Prawn","Wild",3115.6875,1280,32.551375828404,259634981.827483,140202.890186841,2
"32","IDN","Giant Tiger Prawn","Farmed",60.27608,1280,32.551375828404,5022897.49386994,2712.36464668977,2
"33","IDN","Giant Tiger Prawn","Wild",1983.48659,1280,32.551375828404,165286956.650725,89254.9565913915,2
"34","IND","Giant Tiger Prawn","Wild",448.50117,5419,32.551375828404,158227540.102286,85442.8716552344,2
"35","IND","Penaeus Shrimps Nei","Farmed",45.66118,5419,32.551375828404,16108890.3950188,8698.80081331015,2
"36","IND","Penaeus Shrimps Nei","Wild",661.06413,5419,32.551375828404,233218011.760722,125937.72635079,2
"37","JPY","Kuruma Prawn","Farmed",86.42838,4915,32.551375828404,27655355.1406657,14933.8917759595,2
"38","MYS","Giant Tiger Prawn","Farmed",537.40804,2565,32.551375828404,89740993.6570518,48460.136574808,2
"39","PHL","Penaeus Shrimps Nei","Wild",13.68686,2196,32.551375828404,1956750.73560113,1056.64539722461,2
"40","PNG","Banana Prawn","Wild",19.83527,856,32.551375828404,1105379.04226851,596.904682824994,2
"41","PNG","Giant Tiger Prawn","Wild",24.10937,856,32.551375828404,1343565.89652155,725.525584121639,2
"42","SGP","Giant Tiger Prawn","Farmed",349.27047,3026,32.551375828404,68806606.1938059,37155.5673446552,2
"43","SGP","Penaeus Shrimps Nei","Farmed",644.55475,3026,32.551375828404,126977882.938678,68568.0567868861,2
"44","THA","Banana Prawn","Wild",8781.70757,3756,32.551375828404,2147355256.40889,1159571.8384608,2
"45","THA","Giant Tiger Prawn","Farmed",1760.44022,3756,32.551375828404,430473291.199632,232455.577247801,2
"46","THA","Giant Tiger Prawn","Wild",3418.23457,3756,32.551375828404,835847005.040739,451357.382721999,2
"47","THA","Penaeus Shrimps Nei","Farmed",588.34011,3756,32.551375828404,143864415.626935,77686.7844385452,2
"48","THA","Penaeus Shrimps Nei","Wild",21482.62901,3756,32.551375828404,5253059949.71837,2836652.37284792,2
"49","THA","Western King Prawn","Wild",54.08972,3756,32.551375828404,13226339.3689486,7142.22325923226,2
"50","VNM","Giant Tiger Prawn","Farmed",209.23717,3723,32.551375828404,50714391.4656336,27385.7713914421,2
"51","BGD","Penaeus Shrimps Nei","Farmed",44.18974,5682,15.4968558114022,7782090.25895778,4202.3287398372,3
"52","CHN","Giant Tiger Prawn","Farmed",290.01403,4358,15.4968558114022,39172367.6635841,21153.0785383354,3
"53","CHN","Penaeus Shrimps Nei","Farmed",13502.64154,4358,15.4968558114022,1823809830.28463,984857.308353703,3
"54","CHN","Penaeus Shrimps Nei","Wild",103.76635,4358,15.4968558114022,14015782.6616462,7568.52263728896,3
"55","ESP","Penaeus Shrimps Nei","Wild",37.94989,15555,15.4968558114022,18295914.6121185,9879.79389054402,3
"56","IDN","Banana Prawn","Wild",3115.6875,1280,15.4968558114022,123605401.448674,66746.9167822838,3
"57","IDN","Giant Tiger Prawn","Farmed",60.27608,1280,15.4968558114022,2391269.68482955,1291.28562980796,3
"58","IDN","Giant Tiger Prawn","Wild",1983.48659,1280,15.4968558114022,78688782.5640444,42491.942584584,3
"59","IND","Giant Tiger Prawn","Wild",448.50117,5419,15.4968558114022,75327979.600124,40677.1089840669,3
"60","IND","Penaeus Shrimps Nei","Farmed",45.66118,5419,15.4968558114022,7669019.98395587,4141.27079133617,3
"61","IND","Penaeus Shrimps Nei","Wild",661.06413,5419,15.4968558114022,111028975.239939,59955.6466295671,3
"62","JPY","Kuruma Prawn","Farmed",86.42838,4915,15.4968558114022,13165988.8444424,7109.63397599887,3
"63","MYS","Giant Tiger Prawn","Farmed",537.40804,2565,15.4968558114022,42723332.0768512,23070.5993214997,3
"64","PHL","Penaeus Shrimps Nei","Wild",13.68686,2196,15.4968558114022,931557.675728286,503.041144893274,3
"65","PNG","Banana Prawn","Wild",19.83527,856,15.4968558114022,526241.954419437,284.170655386496,3
"66","PNG","Giant Tiger Prawn","Wild",24.10937,856,15.4968558114022,639636.465176493,345.403691195306,3
"67","SGP","Giant Tiger Prawn","Farmed",349.27047,3026,15.4968558114022,32757019.5704881,17688.7905680636,3
"68","SGP","Penaeus Shrimps Nei","Farmed",644.55475,3026,15.4968558114022,60450837.8850382,32643.4524579206,3
"69","THA","Banana Prawn","Wild",8781.70757,3756,15.4968558114022,1022299486.1983,552041.722547083,3
"70","THA","Giant Tiger Prawn","Farmed",1760.44022,3756,15.4968558114022,204937037.363546,110666.000176315,3
"71","THA","Giant Tiger Prawn","Wild",3418.23457,3756,15.4968558114022,397924824.615433,214879.405292334,3
"72","THA","Penaeus Shrimps Nei","Farmed",588.34011,3756,15.4968558114022,68490072.9577416,36984.6393971805,3
"73","THA","Penaeus Shrimps Nei","Wild",21482.62901,3756,15.4968558114022,2500843990.08423,1350455.75464549,3
"74","THA","Western King Prawn","Wild",54.08972,3756,15.4968558114022,6296713.08499401,3400.22506589677,3
"75","VNM","Giant Tiger Prawn","Farmed",209.23717,3723,15.4968558114022,24143790.9183596,13037.6470959142,3
"76","BGD","Penaeus Shrimps Nei","Farmed",44.18974,5682,29.7577278029639,14943503.797317,8069.49205055117,4
"77","CHN","Giant Tiger Prawn","Farmed",290.01403,4358,29.7577278029639,75220462.0419118,40619.0495026324,4
"78","CHN","Penaeus Shrimps Nei","Farmed",13502.64154,4358,29.7577278029639,3502157931.54942,1891165.28303669,4
"79","CHN","Penaeus Shrimps Nei","Wild",103.76635,4358,29.7577278029639,26913707.5589162,14533.4020818147,4
"80","ESP","Penaeus Shrimps Nei","Wild",37.94989,15555,29.7577278029639,35132600.6745901,18971.6043642786,4
"81","IDN","Banana Prawn","Wild",3115.6875,1280,29.7577278029639,237352398.192889,128170.29502416,4
"82","IDN","Giant Tiger Prawn","Farmed",60.27608,1280,29.7577278029639,4591818.70507438,2479.58210074016,4
"83","IDN","Giant Tiger Prawn","Wild",1983.48659,1280,29.7577278029639,151101578.357886,81594.8523132583,4
"84","IND","Giant Tiger Prawn","Wild",448.50117,5419,29.7577278029639,144648020.22862,78109.9309234547,4
"85","IND","Penaeus Shrimps Nei","Farmed",45.66118,5419,29.7577278029639,14726381.401196,7952.24595664584,4
"86","IND","Penaeus Shrimps Nei","Wild",661.06413,5419,29.7577278029639,213202604.685858,115129.406530363,4
"87","JPY","Kuruma Prawn","Farmed",86.42838,4915,29.7577278029639,25281896.9898078,13652.2243744962,4
"88","MYS","Giant Tiger Prawn","Farmed",537.40804,2565,29.7577278029639,82039176.3497695,44301.1552288755,4
"89","PHL","Penaeus Shrimps Nei","Wild",13.68686,2196,29.7577278029639,1788817.04033715,965.961201782062,4
"90","PNG","Banana Prawn","Wild",19.83527,856,29.7577278029639,1010512.3922358,545.676691807334,4
"91","PNG","Giant Tiger Prawn","Wild",24.10937,856,29.7577278029639,1228257.39977314,663.258995877494,4
"92","SGP","Giant Tiger Prawn","Farmed",349.27047,3026,29.7577278029639,62901435.2251851,33966.7750215999,4
"93","SGP","Penaeus Shrimps Nei","Farmed",644.55475,3026,29.7577278029639,116080294.037484,62683.3587802416,4
"94","THA","Banana Prawn","Wild",8781.70757,3756,29.7577278029639,1963063360.31182,1060054.21456838,4
"95","THA","Giant Tiger Prawn","Farmed",1760.44022,3756,29.7577278029639,393528897.011686,212505.604386311,4
