iso3c,species_name,prod_method,mean_emissions,SEM_emissions
BGD,Penaeus Shrimps Nei,Farmed,5638.3085557503855,2070.533906474731
CHN,Giant Tiger Prawn,Farmed,28381.30738619387,10422.356043864176
CHN,Penaeus Shrimps Nei,Farmed,1321393.3824937027,485250.1020814423
CHN,Penaeus Shrimps Nei,Wild,10154.766221804435,3729.0949167949757
ESP,Penaeus Shrimps Nei,Wild,13255.823109227473,4867.883858164265
IDN,Banana Prawn,Wild,89555.03847090498,32886.94505031037
IDN,Giant Tiger Prawn,Farmed,1732.5314760467297,636.230729432304
IDN,Giant Tiger Prawn,Wild,57011.88513738111,20936.250664855663
IND,Giant Tiger Prawn,Wild,54576.9038566318,20042.06205251362
IND,Penaeus Shrimps Nei,Farmed,5556.386465703888,2040.4499790959155
IND,Penaeus Shrimps Nei,Wild,80443.12006159971,29540.8110399153
JPY,Kuruma Prawn,Farmed,9539.070490872886,3502.995391669598
MYS,Giant Tiger Prawn,Farmed,30954.06513716485,11367.13976824872
PHL,Penaeus Shrimps Nei,Wild,674.935581373888,247.85394273884037
PNG,Banana Prawn,Wild,381.27474949067073,140.01402879910825
PNG,Giant Tiger Prawn,Wild,463.4317560148105,170.18422363337407
SGP,Giant Tiger Prawn,Farmed,23733.235873558406,8715.462997577142
SGP,Penaeus Shrimps Nei,Farmed,43798.06261655178,16083.79051781156
THA,Banana Prawn,Wild,740680.1704640033,271997.06997856905
THA,Giant Tiger Prawn,Farmed,148481.733404075,54526.36379605926
THA,Giant Tiger Prawn,Wild,288305.95232329617,105873.46255022862
THA,Penaeus Shrimps Nei,Farmed,49622.67867519192,18222.74139684989
THA,Penaeus Shrimps Nei,Wild,1811920.653279251,665384.5051864566
THA,Western King Prawn,Wild,4562.117641768639,1675.328543872386
VNM,Giant Tiger Prawn,Farmed,17492.74788306897,6423.793102342562
